#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_alencon;Alençon;Alençon;Alençon;;Alençon;;;;;;;;;x
c_alencon_adj;Alençonian;;alençoner;;;;;;;;;;;x
c_alftand;Alftand;Alftand;Alftand;;Alftand;;;;;;;;;x
c_alftand_adj;Alftandian;Alftand;alftander;;;;;;;;;;;x
c_alsace;Alsace;Alsace;Alsace;;Alsace;;;;;;;;;x
c_alsace_adj;Alsacean;Alsacienne;alsacer;;;;;;;;;;;x
c_amiens;Amiens;Amiens;Amiens;;Amiens;;;;;;;;;x
c_amiens_adj;Amiensian;amiénoise;amienser;;;;;;;;;;;x
c_amol;Amol;Amol;Amol;;Amol;;;;;;;;;x
c_amol_adj;Amolian;Amolienne;amoler;;;;;;;;;;;x
c_angouleme;Angoulème;Angoulème;Angoulème;;Angoulème;;;;;;;;;x
c_angouleme_adj;Angoulèmean;angoumoisine;angoulèmer;;;;;;;;;;;x
c_anjou;Anjou;Anjou;Anjou;;Anjou;;;;;;;;;x
c_anjou_adj;Anjian;anjevine;anjer;;;;;;;;;;;x
c_ansilvund;Ansilvund;Ansilvund;Ansilvund;;Ansilvund;;;;;;;;;x
c_ansilvund_adj;Ansilvundian;Ansilvund;ansilvunder;;;;;;;;;;;x
c_antionine;Antionine;Antionine;Antionine;;Antionine;;;;;;;;;x
c_antionine_adj;Antioninean;;antioniner;;;;;;;;;;;x
c_antotonie;Antotonie;Antotonie;Antotonie;;Antotonie;;;;;;;;;x
c_antotonie_adj;Antotoniean;;antotoner;;;;;;;;;;;x
c_anvil;Anvil;Anvil;Anvil;;Anvil;;;;;;;;;x
c_anvil_adj;Anvilian;;anviler;;;;;;;;;;;x
c_aoste;Aoste;Aoste;Aoste;;Aoste;;;;;;;;;x
c_aoste_adj;Aostean;Aostienne;aoster;;;;;;;;;;;x
c_arrius;Arrius;Arrius;;;;;;;;x
c_arrius_adj;Arriusan:arriusienne;;;;;;;;;;x
c_artois;Artois;Artois;Artois;;Artois;;;;;;;;;x
c_artois_adj;Artoisian;artésienne;artoiser;;;;;;;;;;;x
c_auvergne;Auvergne;Auvergne;Auvergne;;Auvergne;;;;;;;;;x
c_auvergne_adj;Auvergnean;Auvergnate;auvergner;;;;;;;;;;;x
c_auxerre;Auxerre;Auxerre;Auxerre;;Auxerre;;;;;;;;;x
c_auxerre_adj;Auxerrean;Auxeroise;auxerrer;;;;;;;;;;;x
c_avalon;Avalon;Avalon;Avalon;;Avalon;;;;;;;;;x
c_avalon_adj;Avalonian;Avalonienne;avaloner;;;;;;;;;;;x
c_avignon;Avignon;Avignon;Avignon;;Avignon;;;;;;;;;x
c_avignon_adj;Avignonian;Avignonne;avignoner;;;;;;;;;;;x
c_baile_atha_cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;;Baile Átha Cliath;;;;;;;;;x
c_baile_atha_cliath_adj;Baile Átha Cliathian;Baile Átha Cliath;Baile Átha Cliather;;;;;;;;;;;x
c_balach;Balach;Balach;Balach;;Balach;;;;;;;;;x
c_balach_adj;Balachian;;balacher;;;;;;;;;;;x
c_bannermist;Bannermist;Brumaille;Bannermist;;Bannermist;;;;;;;;;x
c_bannermist_adj;Bannermistian;Brumaillenne;bannermister;;;;;;;;;;;x
c_bannerwatch;Bannerwatch;Gardeban;Bannerwatch;;Bannerwatch;;;;;;;;;x
c_bannerwatch_adj;Bannerwatchian;Gardebanne;bannerwatcher;;;;;;;;;;;x
c_bayeux;Bayeux;Bayeux;Bayeux;;Bayeux;;;;;;;;;x
c_bayeux_adj;Bayeuxian;Bayien;bayeuxer;;;;;;;;;;;x
c_bearn;Béarn;Béarn;Béarn;;Béarn;;;;;;;;;x
c_bearn_adj;Béarnian;Béarnaise;béarner;;;;;;;;;;;x
c_bleakrock;Bleakrock;Mornepierre;Bleakrock;;Bleakrock;;;;;;;;;x
c_bleakrock_adj;Bleakrockian;Mornepierrienne;bleakrocker;;;;;;;;;;;x
c_bleakwall;Bleakwall;Sombremur;Bleakwall;;Bleakwall;;;;;;;;;x
c_bleakwall_adj;Bleakwallian;Sombremurienne;bleakwaller;;;;;;;;;;;x
c_bleakwind;Bleakwind;Mornevent;Bleakwind;;Bleakwind;;;;;;;;;x
c_bleakwind_adj;Bleakwindian;Morneventienne;bleakwinder;;;;;;;;;;;x
c_blois;Blois;Blois;Blois;;Blois;;;;;;;;;x
c_blois_adj;Bloisian;blésoise;bloiser;;;;;;;;;;;x
c_boisnoir;Boisnoir;Boisnoir;Boisnoir;;Boisnoir;;;;;;;;;x
c_boisnoir_adj;Boisnoirian;;boisnoirer;;;;;;;;;;;x
c_brabant;Brabant;Brabant;Brabant;;Brabant;;;;;;;;;x
c_brabant_adj;Brabantian;brabantoise;brabanter;;;;;;;;;;;x
c_bravil;Bravil;Bravil;Bravil;;Bravil;;;;;;;;;x
c_bravil_adj;Bravilian;;braviler;;;;;;;;;;;x
c_brie;Brie;Brie;Brie;;Brie;;;;;;;;;x
c_brie_adj;Briean;Briarde;brer;;;;;;;;;;;x
c_brittleshin;Brittleshin;La Brissure;Brittleshin;;Brittleshin;;;;;;;;;x
c_brittleshin_adj;Brittleshinian;Briseuse;brittleshiner;;;;;;;;;;;x
c_bruge;Bruge;Bruge;Bruge;;Bruge;;;;;;;;;x
c_bruge_adj;Brugean;brugeoise;bruger;;;;;;;;;;;x
c_bruma;Bruma;Bruma;Bruma;;Bruma;;;;;;;;;x
c_bruma_adj;Bruman;;brumer;;;;;;;;;;;x
c_bthalft;Bthalft;Bthalft;Bthalft;;Bthalft;;;;;;;;;x
c_bthalft_adj;Bthalftian;bthalftienne;bthalfter;;;;;;;;;;;x
c_camelot;Camelot;Camelot;Camelot;;Camelot;;;;;;;;;x
c_camelot_adj;Camelotian;Camelotienne;cameloter;;;;;;;;;;;x
c_carcassonne;Carcassonne;Carcassonne;Carcassonne;;Carcassonne;;;;;;;;;x
c_carcassonne_adj;Carcassonnean;carcassonnaise;carcassonner;;;;;;;;;;;x
c_chartres;Chartres;Chartres;Chartres;;Chartres;;;;;;;;;x
c_chartres_adj;Chartresian;chartraine;chartreser;;;;;;;;;;;x
c_cheydinhal;Cheydinhal;Cheydinhal;Cheydinhal;;Cheydinhal;;;;;;;;;x
c_cheydinhal_adj;Cheydinhalian;;cheydinhaler;;;;;;;;;;;x
c_chorrol;Chorrol;Chorrol;Chorrol;;Chorrol;;;;;;;;;x
c_chorrol_adj;Chorrolian;;chorroler;;;;;;;;;;;x
c_clar;Clár;Clár;Clár;;Clár;;;;;;;;;x
c_clar_adj;Clárian;Clárienne;clárer;;;;;;;;;;;x
c_cleveland;Cleveland;Cleveland;Cleveland;;Cleveland;;;;;;;;;x
c_cleveland_adj;Clevelandian;Clevelandienne;clevelander;;;;;;;;;;;x
c_clorec;Clorec;Clorec;Clorec;;Clorec;;;;;;;;;x
c_clorec_adj;Clorecian;;clorecer;;;;;;;;;;;x
c_coldrock;Coldrock;Rochefroide;Coldrock;;Coldrock;;;;;;;;;x
c_coldrock_adj;Coldrockian;Rochefriarde;coldrocker;;;;;;;;;;;x
c_coldstone;Coldstone;Froidepierre;Coldstone;;Coldstone;;;;;;;;;x
c_coldstone_adj;Coldstonean;Froidepierrienne;coldstoner;;;;;;;;;;;x
c_coldwind;Coldwind;Ventfroid;Coldwind;;Coldwind;;;;;;;;;x
c_coldwind_adj;Coldwindian;ventfriarde;coldwinder;;;;;;;;;;;x
c_coldwinter;Coldwinter;Froidhiver;Coldwinter;;Coldwinter;;;;;;;;;x
c_coldwinter_adj;Coldwinterian;Froidehiverienne;coldwinterer;;;;;;;;;;;x
c_corcaigh;Corcaigh;Corcaigh;Corcaigh;;Corcaigh;;;;;;;;;x
c_corcaigh_adj;Corcaighian;Corcaighienne;corcaigher;;;;;;;;;;;x
c_cornouaille;Cornouaille;Cornouaille;Cornouaille;;Cornouaille;;;;;;;;;x
c_cornouaille_adj;Cornouaillean;cornouaillaise;cornouailler;;;;;;;;;;;x
