#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_aalto;Aalto;Bosquet de Kyne;;;;;;;;;;;;x
b_abadir;Abadir;;;;;;;;;;;;;x
b_abagarlas;Abagarlas;;;;;;;;;;;;;x
b_abalessa;Abalessa;;;;;;;;;;;;;;x
b_abbarbas;Abbarbas;;;;;;;;;;;;;x
b_abbeit;Abbeit;;;;;;;;;;;;;;x
b_abbeville;Abbeville;Abbeville;Abbeville;;Abbeville;;;;;;;;;x
b_abbeville_adj;Abbevillean;;abbeviller;;;;;;;;;;;x
b_abdir;Abdir;;;;;;;;;;;;;x
b_aberdaron;Aberdaron;;;;;;;;;;;;;x
b_aberdeen;Aberdeen;Aberdeen;Aberdeen;;Aberdeen;;;;;;;;;x
b_aberdeen_adj;Aberdeenian;;aberdeener;;;;;;;;;;;x
b_aberyst;Aberyst;;;;;;;;;;;;;x
b_abidan;Abidan;;;;;;;;;;;;;x
b_abidon;Abidon-Gora;;;;;;;;;;;;;x
b_abidon_6;;;;;;;;;;;;;;x
b_abidon_7;;;;;;;;;;;;;;x
b_abri;Abri;;;;;;;;;;;;;;x
b_abu;Abu;;;;;;;;;;;;;;x
b_abuca;Abuca;;;;;;;;;;;;;x
b_abudis;Abudis;;;;;;;;;;;;;;x
b_abul;Abul;;;;;;;;;;;;;x
b_abuwe;Abuwe;;;;;;;;;;;;;x
b_abyalia;Abyalia;;;;;;;;;;;;;x
b_acacyn;Acacyn;;;;;;;;;;;;;x
b_acacyn_6;;;;;;;;;;;;;;x
b_acacyn_7;;;;;;;;;;;;;;x
b_acarsaid;Acarsaid;;;;;;;;;;;;;x
b_accra;Accra;;;;;;;;;;;;;x
b_acer;Acer;;;;;;;;;;;;;x
b_achtung_kartoffel;Achtung-Kartoffel;Achtung-Kartoffel;Achtung-Kartoffel;;Achtung-Kartoffel;;;;;;;;;x
b_achtung_kartoffel_adj;Achtung-Kartoffelian;;achtung-kartoffeler;;;;;;;;;;;x
b_ackniet;Ackniet;;;;;;;;;;;;;x
b_acolhuas;Acolhuas;;;;;;;;;;;;;x
b_acreswamp;Acreswamp;;;;;;;;;;;;;x
b_aculius;Aculius;;;;;;;;;;;;;x
b_adaira;Adaira;;;;;;;;;;;;;x
b_adalatya;Adalatya;;;;;;;;;;;;;x
b_adamen;Adamen;;;;;;;;;;;;;x
b_adana;Adana;;;;;;;;;;;;;x
b_adanakar;Adanakar;;;;;;;;;;;;;x
b_adanhu;Adanhu;;;;;;;;;;;;;x
b_adansaybin;Adansaybin;;;;;;;;;;;;;x
b_adanurum;Adanurum;;;;;;;;;;;;;x
b_adapagol;Adapagol;;;;;;;;;;;;;x
b_adapahir;Adapahir;;;;;;;;;;;;;x
b_adapamal;Adapamal;;;;;;;;;;;;;x
b_adapanbul;Adapanbul;;;;;;;;;;;;;x
b_adaparum;Adaparum;;;;;;;;;;;;;x
b_adapincan;Adapincan;;;;;;;;;;;;;x
b_adapistan;Adapistan;;;;;;;;;;;;;x
b_adarica;Adarica;;;;;;;;;;;;;x
b_adavan;Adavan;;;;;;;;;;;;;x
b_adbenore;Ad Benore;;;;;;;;;;;;;x
b_addin;Addin;;;;;;;;;;;;;;x
b_addura;Addura;;;;;;;;;;;;;x
b_addvild;Addvild;;;;;;;;;;;;;x
b_adeniet;Adeniet;;;;;;;;;;;;;x
b_adeniet_7;Veghithed;;;;;;;;;;;;;;x
b_adenna;Adenna;;;;;;;;;;;;;;x
b_adhir;Adhir;;;;;;;;;;;;;x
b_adhisar;Adhisar;;;;;;;;;;;;;x
b_adi;Adi;;;;;;;;;;;;;;x
b_adigrat;Adigrat;;;;;;;;;;;;;;x
b_adipur;Adipur;;;;;;;;;;;;;x
b_adivas;Adivas;;;;;;;;;;;;;x
b_adiyisar;Adiyisar;;;;;;;;;;;;;x
b_adiymal;Adiymal;;;;;;;;;;;;;x
b_adiyursa;Adiyursa;;;;;;;;;;;;;x
b_adluparev;Adluparev;;;;;;;;;;;;;x
b_adoma;Adoma;;;;;;;;;;;;;x
b_adounwer;Ado'unwer;;;;;;;;;;;;;x
b_adraleria;Adraleria;;;;;;;;;;;;;x
b_adrar;Adrar;;;;;;;;;;;;;;x
b_adselinc;Ad Selinc;;;;;;;;;;;;;x
b_aduk;Aduk;;;;;;;;;;;;;x
b_adulis;Adulis;;;;;;;;;;;;;;x
b_adurada;Adurada;;;;;;;;;;;;;x
b_aduran;Aduran;;;;;;;;;;;;;x
b_adurdurin;Adurdurin;;;;;;;;;;;;;x
b_adurin;Adurin;;;;;;;;;;;;;x
b_adurin_7;;;;;;;;;;;;;;x
b_adurora;Adurora;;;;;;;;;;;;;x
b_adurra;Adurra;;;;;;;;;;;;;x
b_adurra_5;;;;;;;;;;;;;;x
b_adurra_6;;;;;;;;;;;;;;x
b_adurra_7;;;;;;;;;;;;;;x
b_adurusa;Adurusa;;;;;;;;;;;;;x
b_advar;Advar;;;;;;;;;;;;;x
b_adwa;Adwa;;;;;;;;;;;;;;x
b_aelariadru;Aelariadru;;;;;;;;;;;;;x
b_aelcot;Aelcot;;;;;;;;;;;;;x
b_aelfield;Aelfield;;;;;;;;;;;;;x
b_aelmead;Aelmead;;;;;;;;;;;;;x
b_aendril;Aendril;;;;;;;;;;;;;x
b_aerin;Aerin;;;;;;;;;;;;;x
b_aerino;Aerino;;;;;;;;;;;;;x
b_aethelred;Aethelred;;;;;;;;;;;;;x
b_aetherian;Aetherian Archive;;;;;;;;;;;;;x
b_aetherius;Aetherius Stone;;;;;;;;;;;;;x
b_aetolia;Aetolia;;;;;;;;;;;;;x
b_afambo;Afambo;;;;;;;;;;;;;;x
b_aferien;Aferien;;;;;;;;;;;;;x
b_affat;Affat;;;;;;;;;;;;;;x
b_afra;Afra;;;;;;;;;;;;;;x
b_afrin;Afrin;;;;;;;;;;;;;x
b_afsin;Afsin;;;;;;;;;;;;;x
b_aftout;Aftout;;;;;;;;;;;;;;x
b_afyerlesim;Afyerlesim;;;;;;;;;;;;;x
b_afyfa;Afyfa;;;;;;;;;;;;;x
b_afyhir;Afyhir;;;;;;;;;;;;;x
b_agadem;Agadem;;;;;;;;;;;;;x
b_agadem_5;;;;;;;;;;;;;;x
b_agadem_6;;;;;;;;;;;;;;x
b_agadem_7;;;;;;;;;;;;;;x
b_agades;Agades;;;;;;;;;;;;;;x
b_agah;Agah;;;;;;;;;;;;;x
b_agali;Agali;;;;;;;;;;;;;x
b_aganna;Aganna;;;;;;;;;;;;;x
b_agatnam;Agatnam;;;;;;;;;;;;;x
b_agdam;Agdam;;;;;;;;;;;;;x
b_agdash;Agdash;;;;;;;;;;;;;x
b_agea;Agea;;;;;;;;;;;;;x
b_agen;Agen;;;;;;;;;;;;;x
b_aglal;Aglal;;;;;;;;;;;;;;x
b_agnar;Agnar's Point;;;;;;;;;;;;;x
b_agon;Agon;;;;;;;;;;;;;x
b_agralin;Agralin;;;;;;;;;;;;;x
b_agsu;Agsu;;;;;;;;;;;;;x
b_aguelhok;Aguelhok;;;;;;;;;;;;;;x
b_agurto;Agurto;;;;;;;;;;;;;;x
b_ahasou;Ahasou;;;;;;;;;;;;;x
b_ahemmusa;Ahemmusa;;;;;;;;;;;;;x
b_ahvaz;Ahvaz;;;;;;;;;;;;;x
b_ahvaz_7;;;;;;;;;;;;;;x
b_aichan;Aichan;;;;;;;;;;;;;x
b_aidar;Aidar;;;;;;;;;;;;;x
b_aidhab;Aidhab;;;;;;;;;;;;;x
b_aidhab_5;;;;;;;;;;;;;;x
b_aidhab_6;;;;;;;;;;;;;;x
b_aidhab_7;;;;;;;;;;;;;;x
b_aii;Aii;;;;;;;;;;;;;x
b_aiken;Aiken;;;;;;;;;;;;;x
b_aikeni;Aikeni;;;;;;;;;;;;;x
b_aiklam;Aiklam;;;;;;;;;;;;;x
b_aikuan;Aikuan;;;;;;;;;;;;;x
b_aima;;;;;;;;;;;;;;x
b_aimae;Aimae;;;;;;;;;;;;;x
b_airag;Airag;;;;;;;;;;;;;x
b_aire;Aire;Aire;Aire;;Aire;;;;;;;;;x
b_aire_adj;Airean;;airer;;;;;;;;;;;x
b_airmae;Airmae;;;;;;;;;;;;;x
b_aisalal;Aisalal;;;;;;;;;;;;;x
b_ait;Ait;;;;;;;;;;;;;x
b_aix;Aix;Aix;Aix;;Aix;;;;;;;;;x
b_aix_adj;Aixian;;aixer;;;;;;;;;;;x
b_aizenay;Aizenay;Aizenay;Aizenay;;Aizenay;;;;;;;;;x
b_aizenay_adj;Aizenaian;;aizenaer;;;;;;;;;;;x
b_ajalil;Ajalil;;;;;;;;;;;;;x
b_ajare;Ajare;;;;;;;;;;;;;x
b_akada;Akada;;;;;;;;;;;;;x
b_akaha;Akaha;;;;;;;;;;;;;x
b_akasha;Akasha;;;;;;;;;;;;;;x
b_akato;Akato;;;;;;;;;;;;;x
b_akatosh;Cathedral of Akatosh;;;;;;;;;;;;;x
b_akeu;Akeu;;;;;;;;;;;;;x
b_akhinbul;Akhinbul;;;;;;;;;;;;;x
b_akhirlu;Akhirlu;;;;;;;;;;;;;x
b_akhirum;Akhirum;;;;;;;;;;;;;x
b_akhium;Akhium;;;;;;;;;;;;;x
b_akinabe;Akinabe;;;;;;;;;;;;;x
b_akisak;Akisak;;;;;;;;;;;;;x
b_akkar;Akkar;;;;;;;;;;;;;x
b_akordat;Akor-Dat;;;;;;;;;;;;;;x
b_akrum;Akrum;;;;;;;;;;;;;x
b_aksakisehir;Aksakisehir;;;;;;;;;;;;;x
b_aksana;Aksana;;;;;;;;;;;;;x
b_aksantep;Aksantep;;;;;;;;;;;;;x
